num_solutions,count
1,1216
2,1892
3,841
4,1516
5,322
6,1072
7,181
8,905
9,234
10,395
11,61
12,732
13,52
14,177
15,128
16,434
17,28
18,300
19,19
20,219
21,49
22,72
23,11
24,468
25,13
26,44
27,34
28,83
29,12
30,111
31,2
32,184
33,19
34,31
35,5
36,224
37,5
38,13
39,10
40,95
41,1
42,48
43,1
44,34
45,18
46,7
48,207
50,9
51,5
52,19
53,1
54,60
56,32
57,3
58,2
60,73
61,1
62,2
63,5
64,51
66,26
68,10
69,2
70,4
72,103
74,4
75,2
76,8
78,6
80,36
81,5
82,1
84,26
85,1
88,12
90,23
92,3
93,2
94,1
96,87
100,5
102,5
104,11
105,2
108,28
111,1
112,12
114,1
120,33
124,1
126,5
128,15
129,1
130,1
132,8
136,5
144,34
156,2
160,13
162,7
168,8
176,4
180,9
186,1
192,29
198,3
204,1
216,15
240,9
252,1
256,7
264,2
270,2
288,13
324,2
360,1
384,9
486,1
576,4
864,4
